name;size;points;vertices;faces;Seq1;Seq2;Global;name;size;points;vertices;faces;Eff. Seq1;Eff. Seq2;Eff. Global
png;9450.474;8491;3344;6684;0;8491;0;png;100%;1;1;1;0;0.898473452;0
jp2_1000;5479.876;8489;3270;6536;0;8489;0;jp2_1000;58%;0.999764456;0.977870813;0.97785757;0;1.549122644;0
jp2_100;5479.876;8401;3260;6516;0;8401;0;jp2_100;58%;0.989400542;0.974880383;0.97486535;0;1.533063887;0
jp2_10;5479.876;7796;3058;6112;0;7796;0;jp2_10;58%;0.918148628;0.914473684;0.914422501;0;1.422659929;0
jp2_1;1697.399;6798;2792;5580;0;6798;0;jp2_1;18%;0.800612413;0.83492823;0.834829443;0;4.004951105;0
