name;size;points;vertices;faces;Seq1;Seq2;Global;name;size;points;vertices;faces;Eff. Seq1;Eff. Seq2;Eff. Global
png;481,600;12248797;1080986;2161798;806273;807216;552184;png;100%;1;1;1;1.674155241;1.676113298;1.146561695
jp2_1000;376142;11065963;1080247;2160313;0;808327;549765;jp2_1000;78%;0.903432639;0.999316365;0.999313072;0;2.148996308;1.461590365
jp2_100;160,694;11411734;1076222;2152252;0;808972;539513;jp2_100;33%;0.931661615;0.995592912;0.995584231;0;5.034234634;3.357390651
jp2_10;18,195;10098123;1109027;2217863;442479;442545;237596;jp2_10;4%;0.824417533;1.025940206;1.025934431;24.31882888;24.32245626;13.05837444
jp2_1;1,807;10946560;718694;1437282;68790;70725;17819;jp2_1;0%;0.893684498;0.664850424;0.664854903;38.07376314;39.1447434;9.862427467
