name;size;points;vertices;faces;Seq1;Seq2;Global;name;size;points;vertices;faces;Eff. Seq1;Eff. Seq2;Eff. Global
png;505,097;5964516;1072422;2144695;401175;422943;287350;png;100%;1;1;1;0.794252975;0.837349626;0.568900336
jp2_1000;335904;5961878;1059685;2119193;407624;423336;280884;jp2_1000;67%;0.999557718;0.988123146;0.988109265;1.213512745;1.26028799;0.83620276
jp2_100;154,331;5985057;1083671;2167161;398482;399528;269337;jp2_100;31%;1.003443867;1.010489341;1.010475149;2.581989683;2.588767307;1.745186371
jp2_10;18,201;5997979;1136395;2272643;182486;186482;92003;jp2_10;4%;1.005610346;1.059652823;1.0596579;10.02626258;10.24581337;5.054887697
jp2_1;1,808;4317238;597413;1194683;15589;17012;208;jp2_1;0%;0.72382034;0.557068952;0.557040978;8.62082314;9.407751828;0.115025416
