name;size;points;vertices;faces;Seq1;Seq2;Global;name;size;points;vertices;faces;Eff. Seq1;Eff. Seq2;Eff. Global
png;17715.608;188009;44407;88759;0;21701;0;png;100%;1;1;1;0;1.224965014;0
jp2_1000;11268.332;179997;44895;89765;21583;20947;4493;jp2_1000;64%;0.957385019;1.010989258;1.011334062;1.915367776;1.858926414;0.398728046
jp2_100;11268.332;183141;46224;92444;20763;0;0;jp2_100;64%;0.974107623;1.040916973;1.041516917;1.842597467;0;0
jp2_10;7145.756;186073;46807;93610;21297;21003;0;jp2_10;40%;0.989702621;1.054045533;1.054653613;2.980370446;2.939227144;0
jp2_1;1694.302;183047;46379;92734;0;14822;2384;jp2_1;10%;0.973607646;1.044407413;1.044784191;0;8.748145254;1.407069106
