name;size;points;vertices;faces;Seq1;Seq2;Global;name;size;points;vertices;faces;Eff. Seq1;Eff. Seq2;Eff. Global
png;5,173;6595587;370761;741376;1753;2172;0;png;100%;1;1;1;0.338880365;0.419879151;0
jp2_1000;2508;2172;696;1388;0;8489;0;jp2_1000;48%;0.000329311;0.00187722;0.001872194;0;3.385353213;0
jp2_100;2,508;2383;760;1516;0;2383;0;jp2_100;48%;0.000361302;0.002049838;0.002044846;0;0.950323561;0
jp2_10;2,508;25;0;0;0;25;0;jp2_10;48%;3.79041E-06;0;0;0;0.009969823;0
jp2_1;0;0;0;0;0;0;0;jp2_1;0%;0;0;0;#DIV/0!;#DIV/0!;#DIV/0!
