name;size;points;vertices;faces;Seq1;Seq2;Global;name;size;points;vertices;faces;Eff. Seq1;Eff. Seq2;Eff. Global
png;564,574;11453694;2265251;4530223;862298;896404;655251;png;100%;1;1;1;1.527343213;1.587753382;1.160611723
jp2_1000;380,898;10976434;2240163;4480052;0;875132;656099;jp2_1000;67%;0.958331347;0.988924848;0.988925269;0;2.29754842;1.722504971
jp2_100;158,016;11998359;2260446;4520614;894351;894383;644159;jp2_100;28%;1.047553654;0.997878822;0.997878912;5.659862461;5.660064971;4.076532975
jp2_10;18,201;10980172;1739823;3479218;464028;466852;241630;jp2_10;3%;0.958657705;0.768048662;0.768001487;25.49440783;25.64956271;13.27552166
jp2_1;1,809;10763606;1054515;2108878;44824;45916;6364;jp2_1;0%;0.939749744;0.465517949;0.465513066;24.77967297;25.3833541;3.518156318
