name;size;points;vertices;faces;Seq1;Seq2;Global;name;size;points;vertices;faces;Eff. Seq1;Eff. Seq2;Eff. Global
png;33312.948;582269;166825;333567;44944;0;0;png;100%;1;1;1;1.349145083;0;0
jp2_1000;22377.298;565992;165524;330972;45074;0;0;jp2_1000;67%;0.972045567;0.992201409;0.992220453;2.014273573;0;0
jp2_100;21238.229;579049;165760;331470;44835;0;0;jp2_100;64%;0.99446991;0.993616065;0.993713407;2.111051727;0;0
jp2_10;7137.591;574954;165798;331544;39490;0;0;jp2_10;21%;0.987437078;0.993843848;0.993935251;5.532679023;0;0
jp2_1;1672.952;610891;42028;83891;13383;0;0;jp2_1;5%;1.049155974;0.251928668;0.251496701;7.999631789;0;0
