2015-08-17T05:30:35.369 -2.15888475e+11 -2.51614996e+11  7.98034260e+09,-2.76381042e+10 -1.03823998e+11 -2.10286242e+08
2015-08-17T23:02:17.958 -2.15012128e+11 -2.52133141e+11  7.92146252e+09,-2.59475145e+10 -1.01801203e+11 -2.71879286e+08
2015-08-18T16:34:01.510 -2.14132646e+11 -2.52647636e+11  7.86246658e+09,-2.42450748e+10 -9.97319628e+10 -3.33348963e+08
2015-08-19T10:05:46.024 -2.13250039e+11 -2.53158466e+11  7.80335546e+09,-2.25307613e+10 -9.76139260e+10 -3.94656186e+08
2015-08-20T03:37:29.576 -2.12364340e+11 -2.53665602e+11  7.74413162e+09,-2.08046349e+10 -9.54445946e+10 -4.55754504e+08
2015-08-20T21:09:13.128 -2.11475545e+11 -2.54169039e+11  7.68479484e+09,-1.90667184e+10 -9.32211322e+10 -5.16593820e+08
2015-08-21T14:40:56.680 -2.10583660e+11 -2.54668763e+11  7.62534580e+09,-1.73171112e+10 -9.09404599e+10 -5.77115498e+08
2015-08-22T08:12:40.231 -2.09688693e+11 -2.55164760e+11  7.56578518e+09,-1.55559762e+10 -8.85991850e+10 -6.37251886e+08
2015-08-23T01:44:22.820 -2.08790667e+11 -2.55657010e+11  7.50611458e+09,-1.37835836e+10 -8.61935926e+10 -6.96923672e+08
2015-08-23T19:16:07.335 -2.07889547e+11 -2.56145521e+11  7.44633194e+09,-1.20001960e+10 -8.37194034e+10 -7.56042259e+08
2015-08-24T12:47:50.887 -2.06985384e+11 -2.56630257e+11  7.38644068e+09,-1.02063675e+10 -8.11720797e+10 -8.14497996e+08
2015-08-25T06:19:34.438 -2.06078170e+11 -2.57111211e+11  7.32644059e+09,-8.40270744e+09 -7.85463721e+10 -8.72165827e+08
2015-08-25T23:51:17.990 -2.05167915e+11 -2.57588370e+11  7.26633236e+09,-6.59006316e+09 -7.58364068e+10 -9.28896395e+08
2015-08-26T17:23:01.542 -2.04254626e+11 -2.58061721e+11  7.20611668e+09,-4.76955458e+09 -7.30355262e+10 -9.84511314e+08
2015-08-27T10:54:45.094 -2.03338311e+11 -2.58531248e+11  7.14579425e+09,-2.94265773e+09 -7.01361375e+10 -1.03879580e+09
2015-08-28T04:26:28.645 -2.02418979e+11 -2.58996939e+11  7.08536577e+09,-1.11131828e+09 -6.71295213e+10 -1.09148892e+09
2015-08-28T21:58:12.197 -2.01496637e+11 -2.59458778e+11  7.02483194e+09, 7.21891429e+08 -6.40055892e+10 -1.14227045e+09
2015-08-29T15:29:54.754 -2.00571307e+11 -2.59916746e+11  6.96419443e+09, 2.55352301e+09 -6.07526253e+10 -1.19074221e+09
2015-08-30T09:01:38.306 -1.99642970e+11 -2.60370842e+11  6.90345202e+09, 4.37905176e+09 -5.73566733e+10 -1.23640614e+09
2015-08-31T02:33:21.857 -1.98711648e+11 -2.60821045e+11  6.84260640e+09, 6.19224202e+09 -5.38013124e+10 -1.27862421e+09
2015-08-31T20:05:05.408 -1.97777349e+11 -2.61267340e+11  6.78165827e+09, 7.98457248e+09 -5.00667450e+10 -1.31656996e+09
2015-09-01T13:36:48.959 -1.96840082e+11 -2.61709714e+11  6.72060834e+09, 9.74414686e+09 -4.61288941e+10 -1.34915091e+09
